"F0_-0.21","F1_-0.8","F2_0.3","F3_0.2","F4_0.5","F5_0","F6_0","F7_0","F8_0","F9_0","F10_0","F11_0","F12_0","F13_0","F14_0","F15_0","F16_0","F17_0","F18_0","F19_0","T"
0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1
1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0
1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0
0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0
1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0
1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1
